album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,artist
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,It Is Not Meant To Be,6hxDazVPGPFUCQfuBMljOZ,0.429,0.901,C,-4.667,major,0.0455,0.0172,8.99e-4,0.269,0.449,102.096,321747,4,C major,45,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Desire Be Desire Go,1CXm8fcnj8XDlrLB2bT9pL,0.359,0.862,C#,-4.814,major,0.0712,0.0652,0.00812,0.214,0.498,150.936,266160,4,C# major,44,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Alter Ego,3ZjGjLGfy0N3AVArFv3G4B,0.285,0.893,C,-3.319,major,0.0525,0.0165,0.347,0.0974,0.236,129.13,287613,4,C major,44,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Lucidity,6b1qAxCsMnOafhpDyiNpMJ,0.365,0.878,F#,-6.15,minor,0.0698,0.0815,0.231,0.354,0.469,147.015,271880,4,F# minor,44,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Why Won't You Make Up Your Mind?,382oTrYWfomPgyKaxKaTHe,0.458,0.861,F,-4.68,major,0.0659,0.0106,0.375,0.345,0.523,129.087,199320,4,F major,43,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Solitude Is Bliss,0Ez4Vd9woXEJ9Bp2BQGHCc,0.594,0.849,G,-4.901,major,0.0795,0.0125,7.02e-5,0.171,0.694,103.985,235840,4,G major,48,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Jeremy's Storm,0p3E5lWzvaWQbSWpdjjCVD,0.447,0.945,D#,-6.729,major,0.112,0.0195,0.937,0.115,0.148,127.943,328413,4,D# major,41,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Expectation,4FW0i0T05TUyTMu654UHWD,0.445,0.862,C,-5.052,major,0.0542,0.0204,0.0107,0.0834,0.202,139.99,362880,3,C major,42,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,The Bold Arrow Of Time,3ZeD6bGAkD3VKg8BFWWoZt,0.334,0.556,C,-5.799,major,0.0349,0.826,0.572,0.301,0.505,121.334,228707,4,C major,35,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Runway Houses City Clouds,218DMLtG5zwvh5FjVj62Vu,0.438,0.735,D#,-5.987,major,0.0473,0.0775,0.0787,0.126,0.305,119.028,435053,4,D# major,35,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,I Don't Really Mind,3DLguSucLY3c3OOS8Dn6Be,0.457,0.823,B,-5.959,major,0.0821,0.579,0.0119,0.126,0.292,137.067,225893,4,B major,43,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Sundown Syndrome,14VLdNJSXtMwiDpKGjvr9A,0.362,0.707,C#,-4.784,minor,0.0333,0.0964,0.49,0.115,0.34,68.301,349334,4,C# minor,48,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Remember Me,0uDxGO87N9FdD6nbZnhEfB,0.627,0.845,G,-5.832,major,0.0408,0.369,0.0444,0.548,0.51,107.022,261049,4,G major,41,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Half Full Glass Of Wine,5oDvT6FgNqIeFFffxZVnpL,0.673,0.759,C,-6.98,major,0.0871,0.282,0.0444,0.0848,0.712,126.235,266160,4,C major,50,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Wander,1hSKbg08CRrM5GDgK4uE8a,0.504,0.731,C#,-7.121,minor,0.0376,0.601,0.137,0.254,0.415,89.978,314120,4,C# minor,42,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Why Won't You Make Up Your Mind? - Erol Alkan Rework,570Lz3jxiF4gpgFqEzVFsX,0.656,0.634,F,-5.374,major,0.0351,0.0041,0.205,0.0875,0.566,128.963,494047,4,F major,33,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Lucidity - Pilooski Remix,3vUiFY9t411zPPeMVU9RZK,0.489,0.983,A,-4.704,major,0.06,0.12,0.566,0.11,0.506,148.989,329870,4,A major,30,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Solitude Is Bliss - Mickey Moonlight T.A.M Remix,45qQAxI3oGi4yTPH06Sx1M,0.77,0.922,G,-6.625,major,0.0969,0.122,0.0585,0.0739,0.737,104.045,240518,4,G major,28,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,41 Mojitos Poolside Dub,3GgP81STn5SMdR7Kdq4ZMW,0.321,0.918,A,-5.305,minor,0.0399,0.0835,0.193,0.397,0.691,125.968,379127,4,A minor,32,Tame Impala
3WH3SNnrxH68c9RBJOMdh8,InnerSpeaker (Collectors Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,2010,2010-01-01,51,Canyons Sunrise Reprise,5taV22lZRI4TXzJM4y7Mxa,0.612,0.469,C#,-9.541,major,0.0283,0.0974,0.0258,0.0726,0.055,102.475,465777,3,C# major,35,Tame Impala
3C2MFZ2iHotUQOSBzdSvM7,Lonerism,https://i.scdn.co/image/55c7319ab73d68dcfb106e738997f239c5ff1333,2012-01-01,2012-01-01,61,Be Above It,2Gl1Qdx5Px5kVYe0PQoGI0,0.747,0.973,E,-6.005,minor,0.0644,0.397,0.263,0.109,0.375,118.986,201960,4,E minor,49,Tame Impala
3C2MFZ2iHotUQOSBzdSvM7,Lonerism,https://i.scdn.co/image/55c7319ab73d68dcfb106e738997f239c5ff1333,2012-01-01,2012-01-01,61,Endors Toi,0YuePEX4KyfLIPMdNLPwgQ,0.2,0.94,D#,-3.249,major,0.103,0.0324,0.373,0.372,0.347,130.011,186640,4,D# major,51,Tame Impala
