"album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","artist"
"6vzH59tobnxE5WXMiqvBIx","channel ORANGE","https://i.scdn.co/image/bf882389dfdeb68e8bfb60a157e1362a626c789a","2012-01-01",2012-01-01,27,"Start","30pmSiwJEKSw0OG8hlvHqH",0.356,0.349,"F",-19.817,"major",0.492,0.773,0.474,0.596,0.0298,85.415,45640,4,"F major",14,"Frank Ocean"
"6vzH59tobnxE5WXMiqvBIx","channel ORANGE","https://i.scdn.co/image/bf882389dfdeb68e8bfb60a157e1362a626c789a","2012-01-01",2012-01-01,27,"Thinkin Bout You","5xKw68A720RT2Q4XrsmMg2",0.7,0.326,"C",-11.252,"major",0.0681,0.389,0.00313,0.0885,0.194,129.842,200747,4,"C major",32,"Frank Ocean"
"6vzH59tobnxE5WXMiqvBIx","channel ORANGE","https://i.scdn.co/image/bf882389dfdeb68e8bfb60a157e1362a626c789a","2012-01-01",2012-01-01,27,"Fertilizer","6IFAo5jaKuiG3Iqu9LbrJE",0.707,0.566,"E",-7.08,"major",0.0874,0.8,0.041,0.31,0.96,115.777,39640,4,"E major",15,"Frank Ocean"
"6vzH59tobnxE5WXMiqvBIx","channel ORANGE","https://i.scdn.co/image/bf882389dfdeb68e8bfb60a157e1362a626c789a","2012-01-01",2012-01-01,27,"Sierra Leone","5qgKzIiZS70o1ZpWHmnd0m",0.535,0.628,"G",-7.735,"major",0.066,0.181,0.0201,0.108,0.647,124.971,148760,4,"G major",16,"Frank Ocean"
"6vzH59tobnxE5WXMiqvBIx","channel ORANGE","https://i.scdn.co/image/bf882389dfdeb68e8bfb60a157e1362a626c789a","2012-01-01",2012-01-01,27,"Sweet Life","1jHWjMNyb32gxJfst4AH46",0.492,0.559,"B",-6.076,"major",0.181,0.221,0,0.0763,0.81,82.192,262680,4,"B major",23,"Frank Ocean"
"6vzH59tobnxE5WXMiqvBIx","channel ORANGE","https://i.scdn.co/image/bf882389dfdeb68e8bfb60a157e1362a626c789a","2012-01-01",2012-01-01,27,"Not Just Money","3JRvUmaN2LIkG6tTrrjpdS",0.377,0.832,"B",-15.733,"minor",0.448,0.796,0.0289,0.439,0.0935,150.818,59760,1,"B minor",14,"Frank Ocean"
"6vzH59tobnxE5WXMiqvBIx","channel ORANGE","https://i.scdn.co/image/bf882389dfdeb68e8bfb60a157e1362a626c789a","2012-01-01",2012-01-01,27,"Super Rich Kids","7ySwdoHM7VBBi7cXLAIB2d",0.718,0.423,"D#",-8.227,"minor",0.0809,0.239,0,0.223,0.572,60.239,304760,4,"D# minor",22,"Frank Ocean"
"6vzH59tobnxE5WXMiqvBIx","channel ORANGE","https://i.scdn.co/image/bf882389dfdeb68e8bfb60a157e1362a626c789a","2012-01-01",2012-01-01,27,"Pilot Jones","1tfIBSEVWBMJvy0EgTRSA4",0.395,0.441,"G#",-13.462,"major",0.235,0.445,0.000193,0.82,0.365,119.484,184080,1,"G# major",15,"Frank Ocean"
"6vzH59tobnxE5WXMiqvBIx","channel ORANGE","https://i.scdn.co/image/bf882389dfdeb68e8bfb60a157e1362a626c789a","2012-01-01",2012-01-01,27,"Crack Rock","4YCrkql0Haozr3z1TaR06T",0.632,0.728,"F",-7.969,"major",0.163,0.0851,0,0.115,0.403,90.117,224147,4,"F major",16,"Frank Ocean"
"6vzH59tobnxE5WXMiqvBIx","channel ORANGE","https://i.scdn.co/image/bf882389dfdeb68e8bfb60a157e1362a626c789a","2012-01-01",2012-01-01,27,"Pyramids","5vv9AGpR3puw6PV3FMhc0l",0.405,0.651,"F",-6.131,"minor",0.046,0.0103,7.3e-05,0.837,0.171,132.019,592920,4,"F minor",16,"Frank Ocean"
"6vzH59tobnxE5WXMiqvBIx","channel ORANGE","https://i.scdn.co/image/bf882389dfdeb68e8bfb60a157e1362a626c789a","2012-01-01",2012-01-01,27,"Lost","1bjhYUwKUHEg5fHknxFObO",0.913,0.602,"A#",-4.929,"minor",0.235,0.0318,0.000554,0.119,0.524,123.069,234093,4,"A# minor",21,"Frank Ocean"
