album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,artist
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,Growing Apart (To Get Closer),2AyFYSaJjz9XMc0kMr1R3a,0.586,0.533,G#,-9.943,minor,0.366,0.368,0,0.175,0.59,106.835,220995,5,G# minor,51,Kendrick Lamar
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,Ignorance Is Bliss,53mCo1wDJ12iZNq9LgIeg2,0.644,0.801,G,-4.55,major,0.387,0.511,8.59e-6,0.614,0.764,82.156,210495,4,G major,54,Kendrick Lamar
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,P&P 1.5,6TRVvpoVFwyYyIGTFh0Y7P,0.55,0.692,F#,-7.438,minor,0.369,0.299,6.57e-6,0.198,0.593,146.453,361942,4,F# minor,51,Kendrick Lamar
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,Alien Girl (Today W/ Her),6ff9CLXYk39PKFYoYCYeog,0.626,0.537,D,-7.344,major,0.0367,0.502,0.0835,0.111,0.259,95.948,239974,4,D major,49,Kendrick Lamar
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,Opposites Attract (Tomorrow W/O Her),1S6NpdvFXqHZfPUUEOIjtG,0.608,0.814,F#,-5.908,major,0.435,0.657,5.86e-6,0.256,0.587,192.157,271909,4,F# major,51,Kendrick Lamar
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,Michael Jordan,1oH44ACGSLbJGcbw2JLQOt,0.713,0.803,A,-5.311,major,0.287,0.0759,0,0.129,0.522,153.987,350699,4,A major,49,Kendrick Lamar
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,R.O.T.C (Interlude),1DCLOAT1E5NDZDupAE95ka,0.645,0.779,F#,-7.265,minor,0.316,0.324,0,0.65,0.368,98.405,163106,4,F# minor,47,Kendrick Lamar
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,Barbed Wire,7M2cKcvCnflzp9WcxGjlbm,0.613,0.843,G,-8.343,major,0.186,0.0152,0,0.0917,0.325,102.968,265679,4,G major,48,Kendrick Lamar
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,Average Joe,3r4S1J4YCkx2fuqH2eL9fz,0.74,0.733,A,-3.343,minor,0.248,0.243,0,0.184,0.218,91.603,256048,4,A minor,50,Kendrick Lamar
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,H.O.C,0bP9mtOuBLMQ7L0DP2wPwj,0.613,0.591,D,-8.58,major,0.391,0.105,0,0.191,0.371,77.124,316976,4,D major,48,Kendrick Lamar
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,Cut You Off (To Grow Closer),3LkG1iJmtgmCsKof2QMme6,0.685,0.681,G#,-7.176,major,0.481,0.077,0,0.129,0.614,82.982,364104,4,G# major,50,Kendrick Lamar
7MoLQ8vckhwBbQqEYQTYQC,Overly Dedicated,https://i.scdn.co/image/4cb12c6cfceadb2359c6c332fa09fbc67b7993b7,2010-09-14,2010-09-14,56,She Needs Me (Remix),6D5GoogBIBMUBlQ1CYTkOH,0.606,0.835,F,-6.107,major,0.265,0.417,1.11e-6,0.103,0.313,100.145,195791,4,F major,57,Kendrick Lamar
13WjgUEEAQp0d9JqojlWp1,Section.80,https://i.scdn.co/image/dc9bc3b0491e9cd118240529c3822839fdb2e934,2011-07-02,2011-07-02,68,F*ck Your Ethnicity,5v501hmUMvbHPKa7qm0MGD,0.601,0.883,C,-6.944,major,0.328,0.392,1.93e-5,0.397,0.52,150.967,224672,4,C major,57,Kendrick Lamar
13WjgUEEAQp0d9JqojlWp1,Section.80,https://i.scdn.co/image/dc9bc3b0491e9cd118240529c3822839fdb2e934,2011-07-02,2011-07-02,68,Hol' Up,5DO1SazQppcsKQ1c1JpyQz,0.607,0.869,F,-5.271,major,0.345,0.781,0,0.137,0.577,155.983,173158,4,F major,61,Kendrick Lamar
13WjgUEEAQp0d9JqojlWp1,Section.80,https://i.scdn.co/image/dc9bc3b0491e9cd118240529c3822839fdb2e934,2011-07-02,2011-07-02,68,A.D.H.D,2MYl0er3UZ1RlKwRb5LODh,0.609,0.799,A,-6.883,major,0.24,0.33,0,0.108,0.582,157.74,215509,4,A major,72,Kendrick Lamar
13WjgUEEAQp0d9JqojlWp1,Section.80,https://i.scdn.co/image/dc9bc3b0491e9cd118240529c3822839fdb2e934,2011-07-02,2011-07-02,68,No Make-Up (Her Vice),7yQDLdub1VuUUwbpteUX7w,0.535,0.696,F,-7.181,minor,0.0901,0.541,0.00521,0.63,0.213,91.002,235921,4,F minor,54,Kendrick Lamar
13WjgUEEAQp0d9JqojlWp1,Section.80,https://i.scdn.co/image/dc9bc3b0491e9cd118240529c3822839fdb2e934,2011-07-02,2011-07-02,68,Tammy's Song (Her Evils),3RPK9VQuTsiTySY48ldeqx,0.477,0.835,A,-5.942,minor,0.438,0.924,5.08e-4,0.129,0.52,97.317,161671,3,A minor,58,Kendrick Lamar
13WjgUEEAQp0d9JqojlWp1,Section.80,https://i.scdn.co/image/dc9bc3b0491e9cd118240529c3822839fdb2e934,2011-07-02,2011-07-02,68,Chapter Six,3s3ZBjw8kKX5HXymkRIDVy,0.51,0.537,E,-11.297,minor,0.0823,0.533,0,0.185,0.67,67.9,161138,4,E minor,54,Kendrick Lamar
13WjgUEEAQp0d9JqojlWp1,Section.80,https://i.scdn.co/image/dc9bc3b0491e9cd118240529c3822839fdb2e934,2011-07-02,2011-07-02,68,Ronald Reagan Era,3gl1RenSXn1biKijZ1qvky,0.424,0.828,C#,-4.991,minor,0.335,0.0152,0,0.389,0.3,167.469,216900,4,C# minor,59,Kendrick Lamar
