album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,artist
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Start,2oss4VE0RdczKvH7ME1x9P,0.335,0.313,F,-19.775,major,0.419,0.776,0.974,0.564,0.03,76.084,45640,5,F major,4,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Thinkin Bout You,3p4bO83NfhFVRbAufXYyGD,0.717,0.352,C,-11.239,major,0.0508,0.389,0.0024,0.098,0.196,129.833,200747,4,C major,13,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Fertilizer,562hgk3GO9NzKsZ8sf6Xpd,0.701,0.564,B,-7.152,major,0.0891,0.768,0.0448,0.274,0.961,115.846,39640,4,B major,5,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Sierra Leone,1fvYzOPFL15V7HNCPWijp5,0.54,0.598,G,-7.762,major,0.0816,0.187,0.014,0.109,0.637,125.017,148760,4,G major,6,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Sweet Life,2Cc6MvNGyKjHdJekiInP2S,0.48,0.549,B,-6.1,major,0.203,0.242,0,0.082,0.785,83.751,262680,4,B major,8,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Not Just Money,08eZeYOskLxWmxz3wm4ibd,0.372,0.828,B,-15.861,minor,0.452,0.763,0.0754,0.589,0.0766,152.211,59760,1,B minor,4,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Super Rich Kids,1dsQLk5uItl8UOh1OUyqB4,0.739,0.429,D#,-8.225,minor,0.0721,0.234,0,0.212,0.602,60.487,304760,4,D# minor,9,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Pilot Jones,36quFzK8yuNYRiDjotFS8b,0.396,0.44,G#,-13.458,major,0.335,0.415,8.98e-5,0.815,0.427,125.883,184080,4,G# major,5,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Crack Rock,2FnjANzwecdyMRXz0ZxYnz,0.433,0.737,F,-8.028,major,0.192,0.079,0,0.0965,0.37,90.057,224147,4,F major,5,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Pyramids,2k3CC7jkBflXJaSdnbodrT,0.401,0.655,F,-6.131,minor,0.0459,0.0123,9.14e-5,0.791,0.164,108.031,592920,4,F minor,7,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Lost,5vj8jrZYoRE8dIsSioPdvh,0.914,0.604,A#,-4.915,minor,0.225,0.0267,3e-4,0.171,0.469,123.069,234093,4,A# minor,9,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,White,1epDVn3ddLZJ7H1HtXNdIv,0.55,0.0715,C#,-18.843,major,0.0629,0.768,0.902,0.0895,0.299,138.482,76280,4,C# major,4,Frank Ocean
3cO5UOcJuIwo8tSCsBUPDJ,channel ORANGE,https://i.scdn.co/image/d5b91f9fd71688b8ee8e4fbb1653320fb504b6cf,2012-01-01,2012-01-01,12,Monks,2Eutc2ZgflqfcstuFhxcAt,0.741,0.765,C,-4.732,minor,0.183,0.0542,0,0.227,0.574,102.019,200240,4,C minor,4,Frank Ocean
