horario_inicial,Carros,Motos,Ônibus,Caminhões,Mulheres ciclistas,Homens ciclistas,Mulheres pedestres,Homens pedestres
06:00,51,48,1,0,0,29,92,94
06:15,595,203,20,10,0,347,151,183
06:30,587,356,13,8,9,77,157,162
06:45,1079,471,18,16,12,68,159,162
07:00,1246,509,19,22,6,74,152,163
07:15,1015,450,15,10,5,52,152,162
07:30,1036,450,10,12,4,66,145,158
07:45,1257,631,7,13,3,46,105,142
08:00,1386,500,8,11,3,46,85,122
08:15,1000,421,8,18,3,40,88,133
08:30,1118,403,11,23,4,38,73,110
08:45,1103,364,7,12,5,35,49,76
09:00,1046,421,9,21,2,31,57,89
09:15,693,315,9,15,1,24,30,73
09:30,885,429,6,21,1,30,38,91
09:45,959,378,27,13,2,33,41,69
10:00,984,399,9,30,3,24,36,64
10:15,894,380,11,24,0,15,27,53
10:30,803,381,4,32,1,22,30,69
10:45,894,425,13,35,1,21,41,66
11:00,1000,535,8,25,0,48,49,115
11:15,1009,482,18,42,0,23,26,49
11:30,972,547,19,25,0,21,62,71
11:45,1133,522,19,28,0,25,42,72
12:00,1022,498,5,12,0,29,36,75
12:15,1008,464,8,8,0,24,24,72
12:30,1107,416,7,12,0,24,25,70
12:45,1137,486,7,9,0,37,47,59
13:00,1128,489,5,10,1,28,37,81
13:15,1049,473,5,16,0,31,68,93
13:30,1010,424,4,18,0,23,45,68
13:45,1166,498,0,7,0,29,27,62
14:00,1257,552,4,26,0,27,32,72
14:15,1217,414,6,17,0,11,49,69
14:30,1040,438,5,20,1,19,46,60
14:45,1077,467,6,19,0,26,48,73
15:00,1026,425,7,7,3,25,47,74
15:15,994,443,10,20,2,30,55,68
15:30,1056,494,7,20,3,26,53,100
15:45,1018,448,10,17,4,26,90,121
16:00,1059,510,6,18,5,43,108,199
16:15,1151,445,7,17,13,62,114,191
16:30,949,467,5,25,8,66,122,176
16:45,1052,511,7,14,15,103,184,240
17:00,1083,561,14,13,10,83,224,332
17:15,1262,509,15,13,15,92,201,347
17:30,1263,475,13,17,13,77,218,399
17:45,1103,463,36,18,10,71,182,371
18:00,878,580,27,6,2,56,196,326
18:15,870,441,35,17,8,42,203,338
18:30,841,328,18,10,3,46,160,311
18:45,721,399,7,9,2,38,177,333
19:00,668,375,8,7,1,53,155,305
19:15,563,274,1,7,1,52,119,243
19:30,526,211,5,3,1,46,113,228
19:45,472,236,3,1,5,43,71,195
20:00,510,266,2,2,4,54,45,143
20:15,406,179,1,3,1,14,37,120
20:30,391,184,1,4,2,12,43,96
20:45,440,178,0,4,11,96,35,90
